Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
L'Abergement;1355;0;L'Abergement;5741;VD;6.4894117;46.7543868;fr
Agiez;1352;0;Agiez;5742;VD;6.5067975;46.7182531;fr
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;5743;VD;6.5191955;46.6932448;fr
Ballaigues;1338;0;Ballaigues;5744;VD;6.4147534;46.7292465;fr
Baulmes;1446;0;Baulmes;5745;VD;6.5182668;46.7909311;fr
Bavois;1372;0;Bavois;5746;VD;6.5656198;46.6853533;fr
Bofflens;1353;0;Bofflens;5747;VD;6.4988977;46.7030987;fr
Bretonnières;1329;0;Bretonnières;5748;VD;6.4751984;46.7121295;fr
Chavornay;1373;0;Chavornay;5749;VD;6.5705357;46.7014364;fr
Corcelles-sur-Chavornay;1374;0;Chavornay;5749;VD;6.6000469;46.7037516;fr
Essert-Pittet;1435;0;Chavornay;5749;VD;6.5838616;46.7277842;fr
Les Clées;1356;0;Les Clées;5750;VD;6.4627592;46.7315411;fr
La Russille;1356;2;Les Clées;5750;VD;6.4785507;46.7360234;fr
Croy;1322;0;Croy;5752;VD;6.4767270;46.6943269;fr
Juriens;1326;0;Juriens;5754;VD;6.4489188;46.6912975;fr
Lignerolle;1357;0;Lignerolle;5755;VD;6.4563903;46.7400981;fr
Montcherand;1354;0;Montcherand;5756;VD;6.5106305;46.7326598;fr
Orbe;1350;0;Orbe;5757;VD;6.5329880;46.7246019;fr
La Praz;1148;6;La Praz;5758;VD;6.4270878;46.6677227;fr
Premier;1324;0;Premier;5759;VD;6.4452398;46.7044689;fr
Rances;1439;0;Rances;5760;VD;6.5309289;46.7611970;fr
Romainmôtier;1323;0;Romainmôtier-Envy;5761;VD;6.4614475;46.6934902;fr
Sergey;1355;2;Sergey;5762;VD;6.4997173;46.7507391;fr
Valeyres-sous-Rances;1358;0;Valeyres-sous-Rances;5763;VD;6.5193389;46.7519208;fr
Vallorbe;1337;0;Vallorbe;5764;VD;6.3800379;46.7129027;fr
Vaulion;1325;0;Vaulion;5765;VD;6.3903909;46.6892246;fr
Vuiteboeuf;1445;0;Vuiteboeuf;5766;VD;6.5498618;46.8070790;fr
Corcelles-le-Jorat;1082;0;Corcelles-le-Jorat;5785;VD;6.7415192;46.6064819;fr
Essertes;1078;0;Essertes;5788;VD;6.7891371;46.5624393;fr
Maracon;1613;0;Maracon;5790;VD;6.8710152;46.5496696;fr
Montpreveyres;1081;0;Montpreveyres;5792;VD;6.7481855;46.5842394;fr
Ropraz;1088;0;Ropraz;5798;VD;6.7516675;46.6149568;fr
Servion;1077;0;Servion;5799;VD;6.7853439;46.5780829;fr
Les Cullayes;1080;0;Servion;5799;VD;6.7514575;46.5732219;fr
Vulliens;1085;0;Vulliens;5803;VD;6.7966908;46.6216700;fr
Montaubion-Chardonney;1041;22;Jorat-Menthue;5804;VD;6.7143277;46.6470760;fr
Villars-Tiercelin;1058;0;Jorat-Menthue;5804;VD;6.7044355;46.6269911;fr
Peney-le-Jorat;1059;0;Jorat-Menthue;5804;VD;6.7275973;46.6339569;fr
Villars-Mendraz;1061;0;Jorat-Menthue;5804;VD;6.7293721;46.6473415;fr
Sottens;1062;0;Jorat-Menthue;5804;VD;6.7421098;46.6554854;fr
Palézieux;1607;0;Oron;5805;VD;6.8377826;46.5425650;fr
Palézieux-Village;1607;1;Oron;5805;VD;6.8304593;46.5566951;fr
Les Tavernes;1607;3;Oron;5805;VD;6.8106195;46.5548363;fr
Les Thioleyres;1607;4;Oron;5805;VD;6.8119540;46.5396808;fr
Oron-le-Châtel;1608;0;Oron;5805;VD;6.8376343;46.5747272;fr
Bussigny-sur-Oron;1608;2;Oron;5805;VD;6.8629170;46.5696757;fr
Chesalles-sur-Oron;1608;3;Oron;5805;VD;6.8535858;46.5766673;fr
Oron-la-Ville;1610;0;Oron;5805;VD;6.8272820;46.5704841;fr
Châtillens;1610;1;Oron;5805;VD;6.8169490;46.5678717;fr
Vuibroye;1610;2;Oron;5805;VD;6.8053883;46.5720011;fr
Ecoteaux;1612;0;Oron;5805;VD;6.8623156;46.5457385;fr
Ferlens VD;1076;0;Jorat-Mézières;5806;VD;6.7856883;46.5889711;fr
